"HOUSEHOLD DATA ANNUAL AVERAGES 39.  Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2016,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
"Total, full-time wage and salary workers","111,091",$832,"61,930",$915,"49,161",$749
,,,,,,
"Management, professional, and related occupations","45,930","1,188","22,256","1,420","23,674","1,027"
"Management, business, and financial operations occupations","19,023","1,284","10,261","1,491","8,761","1,099"
Management occupations,"12,828","1,370","7,514","1,539","5,314","1,148"
Chief executives,"1,150","2,303",832,"2,419",318,"1,876"
General and operations managers,876,"1,266",626,"1,358",250,"1,037"
Legislators,11,Ð,6,Ð,6,Ð
Advertising and promotions managers,56,"1,332",24,Ð,32,Ð
Marketing and sales managers,921,"1,468",518,"1,745",403,"1,142"
Public relations and fundraising managers,60,"1,532",21,Ð,38,Ð
Administrative services managers,172,"1,261",101,"1,398",71,952
Computer and information systems managers,592,"1,738",443,"1,756",150,"1,680"
Financial managers,"1,105","1,423",527,"1,670",578,"1,157"
Compensation and benefits managers,16,Ð,3,Ð,12,Ð
Human resources managers,263,"1,340",73,"1,737",190,"1,283"
Training and development managers,58,"1,507",27,Ð,31,Ð
Industrial production managers,267,"1,361",201,"1,409",66,"1,219"
Purchasing managers,187,"1,274",95,"1,400",92,"1,169"
"Transportation, storage, and distribution managers",288,990,237,990,51,988
"Farmers, ranchers, and other agricultural managers",119,892,102,906,17,Ð
Construction managers,487,"1,395",452,"1,401",35,Ð
Education administrators,838,"1,381",297,"1,528",541,"1,280"
Architectural and engineering managers,143,"2,258",134,"2,265",9,Ð
Food service managers,760,739,410,853,350,632
Funeral service managers,13,Ð,11,Ð,1,Ð
Gaming managers,18,Ð,14,Ð,4,Ð
Lodging managers,124,929,59,"1,068",64,764
Medical and health services managers,533,"1,402",133,"1,610",399,"1,254"
Natural sciences managers,14,Ð,6,Ð,8,Ð
Postmasters and mail superintendents,23,Ð,12,Ð,11,Ð
"Property, real estate, and community association managers",402,959,181,"1,157",221,815
Social and community service managers,363,"1,079",115,"1,206",248,992
Emergency management directors,8,Ð,5,Ð,3,Ð
"Managers, all other","2,960","1,422","1,845","1,542","1,115","1,188"
Business and financial operations occupations,"6,195","1,161","2,747","1,373","3,448","1,018"
"Agents and business managers of artists, performers, and athletes",23,Ð,11,Ð,12,Ð
