LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,WAGEGAP,TOT,PC_MENWAGE,A,2015,13,
AUT,WAGEGAP,TOT,PC_MENWAGE,A,2015,17.04325299,
CAN,WAGEGAP,TOT,PC_MENWAGE,A,2015,18.62745098,
CZE,WAGEGAP,TOT,PC_MENWAGE,A,2015,16.45515416,
DNK,WAGEGAP,TOT,PC_MENWAGE,A,2015,5.836048095,
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2015,18.05598132,
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2015,15.73033708,
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2015,6.249999287,
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2015,9.523809524,
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2015,9.931402995,
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2015,14.44894073,
JPN,WAGEGAP,TOT,PC_MENWAGE,A,2015,25.73179033,
KOR,WAGEGAP,TOT,PC_MENWAGE,A,2015,37.17628175,
NZL,WAGEGAP,TOT,PC_MENWAGE,A,2015,7.92,
NOR,WAGEGAP,TOT,PC_MENWAGE,A,2015,7.124681934,
PRT,WAGEGAP,TOT,PC_MENWAGE,A,2015,18.91701543,
SVK,WAGEGAP,TOT,PC_MENWAGE,A,2015,13.37662489,
GBR,WAGEGAP,TOT,PC_MENWAGE,A,2015,17.10155148,
USA,WAGEGAP,TOT,PC_MENWAGE,A,2015,18.88268156,
CHL,WAGEGAP,TOT,PC_MENWAGE,A,2015,21.05263158,
MEX,WAGEGAP,TOT,PC_MENWAGE,A,2015,16.66666667,
COL,WAGEGAP,TOT,PC_MENWAGE,A,2015,11.14171573,
CRI,WAGEGAP,TOT,PC_MENWAGE,A,2015,3.703703704,
